"TERMO","CODIGO","NIVEL","NOTAS","TERMOS_INCLUIDOS","TERMO_LIMPO","URI","URIVersion","PAI_TERMO","PAI_CODIGO","PAI_TERMO_LIMPO","FLAG_OUTRO","FILHOS_LIMPOS"
"Combate a desigualdade",110,2,"","","combate-a-desigualdade","http://vocab.e.gov.br/id/governo#combate-a-desigualdade","http://vocab.e.gov.br/id/governo/2014_02#combate-a-desigualdade","Proteção Social",27,"protecao-social",0,""
"Cidadania",108,2,"A alocação de cidadania em Proteção Social foi considerada “não ideal”, mas foi a melhor localização encontrada. ","","cidadania","http://vocab.e.gov.br/id/governo#cidadania","http://vocab.e.gov.br/id/governo/2014_02#cidadania","Proteção Social",27,"protecao-social",0,""
"Outros em Proteção Social",155,2,"","","outros-em-protecao-social","http://vocab.e.gov.br/id/governo#outros-em-protecao-social","http://vocab.e.gov.br/id/governo/2014_02#outros-em-protecao-social","Proteção Social",27,"protecao-social",1,""
"Relações Internacionais",14,1,"Relações com países estrangeiros, entidades internacionais, etc. ","","relacoes-internacionais","http://vocab.e.gov.br/id/governo#relacoes-internacionais","http://vocab.e.gov.br/id/governo/2014_02#relacoes-internacionais","Raiz",0,"",0,"cooperacao-internacional, relacoes-diplomaticas, outros-em-relacoes-internacionais"
"Cooperação Internacional",116,2,"","","cooperacao-internacional","http://vocab.e.gov.br/id/governo#cooperacao-internacional","http://vocab.e.gov.br/id/governo/2014_02#cooperacao-internacional","Relações Internacionais",14,"relacoes-internacionais",0,""
"Relações Diplomáticas",177,2,"","","relacoes-diplomaticas","http://vocab.e.gov.br/id/governo#relacoes-diplomaticas","http://vocab.e.gov.br/id/governo/2014_02#relacoes-diplomaticas","Relações Internacionais",14,"relacoes-internacionais",0,""
"Outros em Relações Internacionais",156,2,"","","outros-em-relacoes-internacionais","http://vocab.e.gov.br/id/governo#outros-em-relacoes-internacionais","http://vocab.e.gov.br/id/governo/2014_02#outros-em-relacoes-internacionais","Relações Internacionais",14,"relacoes-internacionais",1,""
"Saneamento",28,1,"Atividades relacionadas a saneamento básico.","","saneamento","http://vocab.e.gov.br/id/governo#saneamento","http://vocab.e.gov.br/id/governo/2014_02#saneamento","Raiz",0,"",0,"saneamento-basico-rural, saneamento-basico-urbano, outros-em-saneamento"
"Saneamento Básico Rural",178,2,"","","saneamento-basico-rural","http://vocab.e.gov.br/id/governo#saneamento-basico-rural","http://vocab.e.gov.br/id/governo/2014_02#saneamento-basico-rural","Saneamento",28,"saneamento",0,""
"Saneamento Básico Urbano",179,2,"","","saneamento-basico-urbano","http://vocab.e.gov.br/id/governo#saneamento-basico-urbano","http://vocab.e.gov.br/id/governo/2014_02#saneamento-basico-urbano","Saneamento",28,"saneamento",0,""
"Outros em Saneamento",157,2,"","","outros-em-saneamento","http://vocab.e.gov.br/id/governo#outros-em-saneamento","http://vocab.e.gov.br/id/governo/2014_02#outros-em-saneamento","Saneamento",28,"saneamento",1,""
